nid,ngram,dm_to_dm, d_to_dm, dm_to_d, d_to_d, ngram_occur_num,total_paper_num, meme_score
157,increasingly,15,735,120,27590,168,28325,0.027043822071053897
158,strength electrical,0,0,3,28325,3,28325,0.0
159,flexibility systems lower,0,0,1,28325,1,28325,0.0
160,optodic,1,1,3,28324,4,28325,0.16667843483377465
161,achieve miniaturized,0,0,1,28325,1,28325,0.0
162,polymeric films,5,20,13,28305,22,28325,0.29873364288729426
163,polymeric films promising,0,0,1,28325,1,28325,0.0
164,carries burden,0,0,1,28325,1,28325,0.0
165,transmission optical,5,155,15,28170,22,28325,0.03847036172217443
166,diode strongly impaired,0,0,1,28325,1,28325,0.0
167,low thermal conductivity,1,32,12,28293,19,28325,0.036153423275753375
168,films promising candidates,0,16,6,28309,10,28325,0.0
169,continuously,27,553,144,27772,195,28325,0.06316702136606546
170,implemented,107,1074,310,27251,486,28325,0.14842953918863036
171,waveguides,185,1069,205,27256,469,28325,0.3744781235148347
172,strength electrical connection,0,0,1,28325,1,28325,0.0
173,low thermal,1,70,25,28255,35,28325,0.017082784219371535
174,addressing challenge different,0,0,1,28325,1,28325,0.0
175,manufacturing budgets continuously,0,0,1,28325,1,28325,0.0
176,chips optoelectronic,0,7,3,28318,3,28325,0.0
177,optical sensing,4,154,29,28171,38,28325,0.030093489467677825
178,thermo-optical opto-electronic properties,0,0,1,28325,1,28325,0.0
179,active,479,4229,984,24096,1699,28325,0.1657658953539232
180,electrical connection,0,8,10,28317,11,28325,0.0
181,optoelectronic light sources/detectors,0,0,1,28325,1,28325,0.0
182,use,814,6717,1602,21608,2867,28325,0.16508694577307675
183,applications use,0,161,7,28164,8,28325,0.0
184,leads concept,0,0,2,28325,2,28325,0.0
185,continuously growing,1,4,3,28321,4,28325,0.09523473290463581
186,conductivity employed,1,1,2,28324,3,28325,0.15001059135039718
187,structure,2530,9405,2381,18920,5674,28325,0.4275888419688263
188,active diode strongly,0,0,1,28325,1,28325,0.0
189,films promising,1,70,34,28255,42,28325,0.015513014858672524
190,laser diode using,0,3,4,28322,5,28325,0.0
191,short-distance planar optical,0,0,1,28325,1,28325,0.0
192,evaluate performance,0,37,15,28288,16,28325,0.0
193,sources/detectors waveguides flexible,0,0,1,28325,1,28325,0.0
194,chips optoelectronic light,0,0,1,28325,1,28325,0.0
195,packaging chips carries,0,0,1,28325,1,28325,0.0
196,short-distance planar,0,0,1,28325,1,28325,0.0
197,electrical connection thermal,0,0,1,28325,1,28325,0.0
198,elaborate characterization,0,0,1,28325,1,28325,0.0
199,promising,1218,6303,1459,22022,2957,28325,0.3037688746828808
200,mechanical,319,2495,540,25830,973,28325,0.20869698988284657
201,optical optoelectronic,34,853,201,27472,280,28325,0.05288113876263772
202,bare chips optoelectronic,0,0,1,28325,1,28325,0.0
203,applications use optical,0,0,1,28325,1,28325,0.0
204,cost-effective transparent polymeric,0,0,1,28325,1,28325,0.0
205,flexible transparent,53,368,72,27957,135,28325,0.25382927751859785
206,heat dissipation,3,51,18,28274,26,28325,0.06866650788980885
207,waveguides flexible transparent,0,0,1,28325,1,28325,0.0
208,transparent polymeric films,0,0,1,28325,1,28325,0.0
209,waveguide,243,1092,316,27233,666,28325,0.4455014352355433
210,using,4606,13432,3158,14893,9093,28325,0.5186432179519912
211,thermal stability optical,1,5,6,28320,8,28325,0.11110326566637245
212,bare edge-emitting laser,1,1,1,28324,2,28325,0.12500882612533099
213,performance cof,0,0,2,28325,2,28325,0.0
214,characterization,227,2684,875,25641,1287,28325,0.11211354148241305
215,flexibility systems,0,0,1,28325,1,28325,0.0
216,integrated circuits increasingly,0,0,1,28325,1,28325,0.0
217,bare edge-emitting,1,1,1,28324,2,28325,0.12500882612533099
218,mechanical flexibility,37,527,77,27798,115,28325,0.09849727306033407
219,carrier substrates,1,1,2,28324,3,28325,0.15001059135039718
220,terms ensuring mechanical,0,0,1,28325,1,28325,0.0
221,packaging chips,0,0,1,28325,1,28325,0.0
222,flexible transparent polymeric,0,0,2,28325,2,28325,0.0
223,penetrating daily routine,0,0,1,28325,1,28325,0.0
224,fields,142,1659,591,26666,809,28325,0.10956105722982369
225,impaired inefficient heat,0,0,1,28325,1,28325,0.0
226,presented,628,4426,1240,23899,2249,28325,0.21648938852637883
227,multiand single-mode,0,0,1,28325,1,28325,0.0
228,demanding,2,104,33,28221,47,28325,0.024315892799696447
229,films optical sensing,0,0,1,28325,1,28325,0.0
230,use optical optoelectronic,0,3,3,28322,4,28325,0.0
231,systems lower manufacturing,0,0,1,28325,1,28325,0.0
232,single-mode polymeric waveguide,0,0,1,28325,1,28325,0.0
233,dissipation extremely low,0,0,1,28325,1,28325,0.0
234,concept chip-on-flex cof,0,0,1,28325,1,28325,0.0
235,concept,56,1286,308,27039,431,28325,0.057480545459869144
236,present cof,0,0,1,28325,1,28325,0.0
237,demand mechanical flexibility,1,1,1,28324,2,28325,0.12500882612533099
238,use optical,0,260,59,28065,74,28325,0.0
239,polymeric films optical,0,0,1,28325,1,28325,0.0
240,responsibilities,0,0,1,28325,1,28325,0.0
241,thermal conductivity,43,359,78,27966,145,28325,0.20996644194090958
242,polymeric,84,937,224,27388,362,28325,0.13780726551680234
243,manufacturing,41,644,192,27681,286,28325,0.09083849281973559
244,mechanical strength electrical,0,0,2,28325,2,28325,0.0
245,consisting light sources/detectors,0,0,1,28325,1,28325,0.0
246,integrated,945,4132,840,24193,2092,28325,0.4844668410830396
247,light sources/detectors employed,0,0,1,28325,1,28325,0.0
248,cof packages optical,0,0,1,28325,1,28325,0.0
249,packaging bare,0,0,1,28325,1,28325,0.0
250,stability optical,1,26,16,28299,19,28325,0.034454758498949994
251,thermal conductivity employed,1,1,1,28324,2,28325,0.12500882612533099
252,burden,0,0,3,28325,3,28325,0.0
253,performance active diode,0,0,1,28325,1,28325,0.0
254,sensing,238,1844,476,26481,795,28325,0.19996562161467837
255,heat dissipation extremely,0,0,1,28325,1,28325,0.0
256,increasingly penetrating,1,1,1,28324,2,28325,0.12500882612533099
257,packaging bare edge-emitting,0,0,1,28325,1,28325,0.0
258,evaluate,26,699,256,27626,344,28325,0.047983305459033614
259,variety applications,6,240,69,28085,80,28325,0.02720529034804475
260,transparent polymeric,0,2,3,28323,3,28325,0.0
261,opto-electronic properties,1,99,28,28226,36,28325,0.011346612157945773
262,electrical,1641,7403,1446,20922,3598,28325,0.4064556781694735
263,responsibilities terms ensuring,0,0,1,28325,1,28325,0.0
264,optical performance,1,80,47,28245,59,28325,0.014178219674815768
265,manufacturing budgets,0,0,1,28325,1,28325,0.0
266,leads,130,2469,641,25856,874,28325,0.06515717684772261
267,connection thermal,0,0,1,28325,1,28325,0.0
268,presented multiand,0,0,1,28325,1,28325,0.0
269,daily,8,51,28,28274,48,28325,0.2290019518707273
270,heat,56,705,242,27620,353,28325,0.11113844479255046
271,chips,65,571,111,27754,207,28325,0.20149745502325986
272,transparent,904,3152,496,25173,1618,28325,0.8257790296219155
273,transparency desired,0,0,1,28325,1,28325,0.0
274,operating cof,0,0,1,28325,1,28325,0.0
275,prototypes,1,75,27,28250,40,28325,0.01705056540007996
276,carries burden responsibilities,0,0,1,28325,1,28325,0.0
277,light,2438,9308,1905,19017,4964,28325,0.4574370856957588
278,consisting,87,1500,454,26825,632,28325,0.07581925790564875
279,establish short-distance planar,0,0,1,28325,1,28325,0.0
280,opto-electronic,39,800,161,27525,230,28325,0.06619692116932074
281,flexibility interconnects bare,0,0,1,28325,1,28325,0.0
282,using previously developed,0,0,1,28325,1,28325,0.0
283,lower manufacturing,1,1,3,28324,4,28325,0.16667843483377465
284,lower manufacturing budgets,0,0,1,28325,1,28325,0.0
285,waveguides flexible,0,0,2,28325,2,28325,0.0
286,novel optodic,1,1,1,28324,2,28325,0.12500882612533099
287,developed,527,4152,1166,24173,1975,28325,0.1828970515507714
288,strongly impaired,0,0,1,28325,1,28325,0.0
289,inefficient,2,247,28,28078,34,28325,0.00869861002761723
290,diode,301,2874,597,25451,1048,28325,0.1642187670769061
291,thermomanagement,0,0,1,28325,1,28325,0.0
292,responsibilities terms,0,0,1,28325,1,28325,0.0
293,properties,8293,14812,1989,13513,11747,28325,1.5751644760460868
294,leads concept chip-on-flex,0,0,1,28325,1,28325,0.0
295,transmission,558,3526,1098,24799,1981,28325,0.24911305157830635
296,packages optical,0,2,2,28323,2,28325,0.0
297,desired,35,985,287,27340,373,28325,0.043984349923154926
298,concepts,18,947,111,27378,151,28325,0.024260535484202213
299,present,906,6246,1829,22079,3190,28325,0.19681190894982084
300,interconnects consisting light,0,0,1,28325,1,28325,0.0
301,systems lower,0,1,2,28324,2,28325,0.0
302,thermomanagement implemented,0,0,1,28325,1,28325,0.0
303,using previously,0,9,3,28316,3,28325,0.0
304,dissipation,25,481,79,27844,117,28325,0.07245613312522584
305,strongly impaired inefficient,0,0,1,28325,1,28325,0.0
306,laser,1236,4742,969,23583,2641,28325,0.5893438636452336
307,candidates,138,1734,501,26591,713,28325,0.10552418514891473
308,optical performance active,0,0,1,28325,1,28325,0.0
309,packages terms mechanical,0,0,1,28325,1,28325,0.0
310,optical signals,14,266,75,28059,99,28325,0.06544327870490933
311,engineering,229,2868,473,25457,775,28325,0.11673081572234588
312,terms,125,2045,590,26280,855,28325,0.08165757878512217
313,demand mechanical,1,1,2,28324,3,28325,0.15001059135039718
314,employed polymeric films,0,0,1,28325,1,28325,0.0
315,electrical thermo-optical opto-electronic,0,0,1,28325,1,28325,0.0
316,chips carries burden,0,0,1,28325,1,28325,0.0
317,circuits increasingly,0,0,1,28325,1,28325,0.0
318,candidates carrier substrates,0,0,1,28325,1,28325,0.0
319,interconnects consisting,0,3,2,28322,2,28325,0.0
320,thermo-optical,1,14,7,28311,9,28325,0.05292061679040548
321,devices integrated circuits,0,9,4,28316,6,28325,0.0
322,previously developed novel,0,0,1,28325,1,28325,0.0
323,flexibility,159,1776,276,26549,494,28325,0.1483444295131116
324,polymeric waveguide,2,26,8,28299,13,28325,0.08143852008842727
325,cof packaging bare,0,0,1,28325,1,28325,0.0
326,packages terms,0,0,1,28325,1,28325,0.0
327,prototypes planar,0,0,1,28325,1,28325,0.0
328,coupling,519,3136,789,25189,1488,28325,0.27627813830690995
329,strength,100,1115,314,27210,487,28325,0.13201837980594
330,conductivity employed polymeric,0,0,1,28325,1,28325,0.0
331,interconnects presented multiand,0,0,1,28325,1,28325,0.0
332,systems,997,6230,1271,22095,2653,28325,0.259865666429415
333,aim establish short-distance,0,0,1,28325,1,28325,0.0
334,miniaturized,19,174,49,28151,81,28325,0.16620045085735394
335,carries,0,44,21,28281,22,28325,0.0
336,challenge different concepts,0,0,1,28325,1,28325,0.0
337,electrical thermo-optical,0,0,1,28325,1,28325,0.0
338,present cof packaging,0,0,1,28325,1,28325,0.0
339,multiand single-mode polymeric,0,0,1,28325,1,28325,0.0
340,diode strongly,0,0,1,28325,1,28325,0.0
341,addressing,5,143,48,28182,58,28325,0.038754584642257436
342,thermal,781,4387,1251,23938,2372,28325,0.2844304117176011
343,variety,141,2569,583,25756,837,28325,0.07120903017012863
344,flexible,570,2902,579,25423,1272,28325,0.3849470268821661
345,mechanical electrical,3,77,16,28248,23,28325,0.04527614158963163
346,integrated circuits,96,958,216,27367,383,28325,0.16881358132003219
347,elaborate characterization results,0,0,1,28325,1,28325,0.0
348,miniaturized structure ensure,0,0,1,28325,1,28325,0.0
349,signals cost-effective,0,0,1,28325,1,28325,0.0
350,employed polymeric,0,0,2,28325,2,28325,0.0
351,establish short-distance,0,0,1,28325,1,28325,0.0
352,diode using previously,0,0,1,28325,1,28325,0.0
353,optoelectronic light,1,4,13,28321,15,28325,0.1339238431471441
354,ensuring mechanical strength,0,0,1,28325,1,28325,0.0
355,sources/detectors,0,0,1,28325,1,28325,0.0
356,terms ensuring,0,0,1,28325,1,28325,0.0
357,inefficient heat dissipation,0,0,1,28325,1,28325,0.0
358,light sources/detectors waveguides,0,0,1,28325,1,28325,0.0
359,bare,28,333,129,27992,178,28325,0.11106452878297537
360,single-mode polymeric,0,0,1,28325,1,28325,0.0
361,structure ensure flexibility,0,0,1,28325,1,28325,0.0
362,operating cof packages,0,0,1,28325,1,28325,0.0
363,cof packages terms,0,0,1,28325,1,28325,0.0
364,multiand,0,0,1,28325,1,28325,0.0
365,chips carries,0,0,1,28325,1,28325,0.0
366,sources/detectors waveguides,0,0,1,28325,1,28325,0.0
367,challenge different,0,0,1,28325,1,28325,0.0
368,routine,0,51,26,28274,29,28325,0.0
369,sensing engineering,0,0,1,28325,1,28325,0.0
370,aim establish,0,0,4,28325,4,28325,0.0
371,demand,13,595,129,27730,170,28325,0.027412212613102897
372,optical transparency,31,391,123,27934,177,28325,0.10901293751670765
373,previously,47,1519,399,26806,512,28325,0.037225265982659114
376,cell,406,2924,688,25401,1267,28325,0.22810461090146417
377,structure optical,14,260,121,28065,148,28325,0.06295842670878841
378,dft,186,951,384,27374,617,28325,0.3004378918858528
381,solar cell applications,6,245,72,28080,90,28325,0.028784215471343563
382,chalcones,0,1,2,28324,3,28325,0.0
383,cell applications,6,259,73,28066,91,28325,0.02717282432819144
384,insights,33,927,223,27398,273,28325,0.04146500225881284
385,experimental,863,5653,1321,22672,2581,28325,0.2381106340942159
386,molecular,1235,4580,911,23745,2444,28325,0.6041283660135683
389,molecular structure optical,0,0,1,28325,1,28325,0.0
391,photosensitizers,8,45,10,28280,22,28325,0.2816330594971372
395,properties new,4,139,57,28186,72,28325,0.033640515644617924
397,insights molecular,0,0,1,28325,1,28325,0.0
399,molecular structure,18,422,93,27903,130,28325,0.05650454285862624
400,solar cell,237,2059,473,26266,805,28325,0.18026949191641836
401,structure optical properties,6,151,75,28174,88,28325,0.04372637071666199
402,optical properties new,0,22,7,28303,8,28325,0.0
403,optical properties,969,5410,1265,22915,2538,28325,0.2899111446995047
404,new,2057,9349,1878,18976,4486,28325,0.3514824738920339
407,solar,1876,6252,942,22073,3183,28325,0.787337282614822
408,prepared,680,4260,1187,24065,2187,28325,0.24909527290757516
409,e-t,1,18,13,28307,14,28325,0.04164460135333921
410,value transport energy,0,0,1,28325,1,28325,0.0
411,films chalcone derivatives,0,0,1,28325,1,28325,0.0
412,wavelength range 200-2500,1,6,2,28319,4,28325,0.0888794743552025
413,microscopy fesem showed,0,4,2,28321,2,28325,0.0
414,hydroxyl-arylazo,0,0,1,28325,1,28325,0.0
415,range 200-2500 nm,1,8,2,28317,5,28325,0.09089304340848911
416,avenue,17,918,75,27407,96,28325,0.0219839151182246
417,fesem,10,114,79,28211,100,28325,0.10382334796258548
418,constants,79,764,249,27561,388,28325,0.15432462661029386
419,fabrication organic/inorganic,0,1,2,28324,2,28325,0.0
420,organic/inorganic,13,180,61,28145,79,28325,0.08713988926347672
421,calculated,393,2028,751,26297,1353,28325,0.3223999068493107
422,uv-vis,153,1171,521,27154,763,28325,0.18194011238035643
423,electron microscopy fesem,2,69,38,28256,48,28325,0.03244454968821533
424,formation pristine films,0,0,1,28325,1,28325,0.0
425,computed dft exceed,0,0,1,28325,1,28325,0.0
426,prepared condensation 4-,0,0,1,28325,1,28325,0.0
427,technique spectral,0,0,1,28325,1,28325,0.0
428,spectral wavelength range,0,0,1,28325,1,28325,0.0
429,pressure,181,1183,369,27142,678,28325,0.2665634295356828
430,fabrication organic/inorganic hybrid,0,0,1,28325,1,28325,0.0
431,-chalcone,0,0,1,28325,1,28325,0.0
432,level,347,3185,962,25140,1509,28325,0.1510846230393091
433,ft-ir,25,155,107,28170,161,28325,0.2303452650224411
434,prepared using,8,275,125,28050,158,28325,0.03518047521382718
435,obtained experimental results,0,6,3,28319,3,28325,0.0
436,range 200-2500,1,8,2,28317,5,28325,0.09089304340848911
437,elsevier,1744,5723,1947,22602,4544,28325,0.5664132981458212
438,derivatives prepared,0,6,5,28319,5,28325,0.0
439,chalcone 5e/silicon,0,0,1,28325,1,28325,0.0
440,formation,568,3913,1255,24412,2103,28325,0.20900231387896687
441,ev,1101,4657,1018,23668,2477,28325,0.47901416222233073
442,features films,0,2,2,28323,3,28325,0.0
443,spectral,343,3287,781,25038,1301,28325,0.15294708550074176
444,exciton,418,2718,382,25607,876,28325,0.3160317940694944
445,opt determined,0,0,1,28325,1,28325,0.0
446,structural formation pristine,0,0,1,28325,1,28325,0.0
447,ft-ir h-1,0,4,11,28321,12,28325,0.0
448,parameters cell studied,0,0,1,28325,1,28325,0.0
449,5a photosensitizertype,0,0,1,28325,1,28325,0.0
450,10 -5,17,386,91,27939,132,28325,0.06053868281267176
451,films studied,21,330,143,27995,194,28325,0.08282873450049935
452,constants dispersion parameters,0,5,1,28320,2,28325,0.0
453,0.45-1.15 ev,0,0,1,28325,1,28325,0.0
454,spectrophotometric,3,27,14,28298,19,28325,0.11167000674938996
455,2018 elsevier,0,2,98,28323,98,28325,0.0
456,rights,1640,5470,1910,22855,4353,28325,0.5502504506127154
457,thermal evaporation technique,3,61,26,28264,33,28325,0.05323129394040844
458,structural optical,74,707,312,27618,437,28325,0.1409982535992655
459,series hydroxyl-arylazo -chalcone,0,0,1,28325,1,28325,0.0
460,computed,56,455,138,27870,233,28325,0.19882599002384602
461,medium,30,808,262,27517,355,28325,0.048146130721563006
462,spectroscopy,1049,5018,1478,23307,2924,28325,0.33945321913215487
463,energy e-t,0,4,3,28321,3,28325,0.0
464,chalcone,3,3,6,28322,9,28325,0.5
465,e-t computed,0,0,1,28325,1,28325,0.0
466,energy gap,40,489,179,27836,261,28325,0.11459026410482719
467,structures,1326,7112,1666,21213,3465,28325,0.28980715941455887
468,dyes 4-anisaldehyde,0,0,1,28325,1,28325,0.0
469,5a prepared,0,2,2,28323,2,28325,0.0
470,showed,604,3579,1415,24746,2328,28325,0.2418832745680866
471,0.45-1.15 ev exciton,0,0,1,28325,1,28325,0.0
472,value optical energy,0,0,1,28325,1,28325,0.0
473,b.v. rights reserved,773,3626,1363,24699,2626,28325,0.3571073154790642
474,heterojunction solar cell,2,46,17,28279,23,28325,0.046867518057531934
475,200-2500 nm optical,0,0,1,28325,1,28325,0.0
476,using thermal,0,60,25,28265,35,28325,0.0
477,calculations,759,3327,831,24998,1783,28325,0.43010084569447565
478,10,1663,7631,1553,20694,3745,28325,0.38310675016434664
479,photovoltaic parameters cell,0,1,2,28324,2,28325,0.0
480,b.v.,787,3649,1383,24676,2665,28325,0.3610235945994853
481,organic/inorganic hybrid chalcone,0,0,1,28325,1,28325,0.0
482,10 -5 mbar,0,7,4,28318,5,28325,0.0
483,experimental results,143,1883,568,26442,842,28325,0.10438641560317559
484,nm optical constants,0,0,1,28325,1,28325,0.0
485,level theory,7,43,16,28282,29,28325,0.23193744559410728
486,gap e-g,6,108,55,28217,68,28325,0.06313879390544941
